epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.81,2.08913,2.64529,3.10606,0.83376,0.79154,0.87896,0.71318,0.77324,0.88732,1.5331,0.003332,0.003332,0.003332
2,712.156,0.85586,0.84354,1.44249,0.87136,0.86596,0.91542,0.82404,0.48178,0.57241,1.10271,0.00650037,0.00650037,0.00650037
3,1049.49,0.65756,0.66786,1.22534,0.91873,0.9014,0.94406,0.87846,0.39736,0.48217,0.9972,0.00950373,0.00950373,0.00950373
4,1383.64,0.56465,0.58522,1.14413,0.92377,0.95002,0.97378,0.93209,0.31748,0.35061,0.92334,0.0092575,0.0092575,0.0092575
5,1717.78,0.48808,0.51302,1.08182,0.95141,0.95062,0.97537,0.94593,0.28369,0.31324,0.90424,0.00901,0.00901,0.00901
6,2052.14,0.44394,0.46473,1.0494,0.94966,0.9559,0.97048,0.95114,0.2582,0.30463,0.88297,0.0087625,0.0087625,0.0087625
7,2385.88,0.41316,0.42967,1.02463,0.97167,0.95011,0.97771,0.95937,0.24034,0.27383,0.86856,0.008515,0.008515,0.008515
8,2720.1,0.3895,0.40286,1.00755,0.97312,0.93516,0.97257,0.953,0.24488,0.29258,0.88642,0.0082675,0.0082675,0.0082675
9,3053.73,0.3757,0.38815,0.99634,0.98316,0.93638,0.97396,0.95792,0.23092,0.27589,0.8728,0.00802,0.00802,0.00802
10,3387.31,0.3616,0.3763,0.9834,0.97208,0.94209,0.97388,0.95655,0.23196,0.27577,0.87423,0.0077725,0.0077725,0.0077725
11,3720.94,0.34989,0.36372,0.97702,0.98145,0.94289,0.97779,0.96418,0.21529,0.25206,0.85786,0.007525,0.007525,0.007525
12,4054.84,0.3407,0.34906,0.96938,0.98002,0.93937,0.97325,0.96023,0.21766,0.2661,0.86261,0.0072775,0.0072775,0.0072775
13,4388.46,0.32962,0.34038,0.96168,0.97409,0.95447,0.97584,0.96409,0.20949,0.24915,0.85661,0.00703,0.00703,0.00703
14,4721.64,0.3253,0.33344,0.95776,0.98694,0.94209,0.97642,0.96446,0.20563,0.2482,0.855,0.0067825,0.0067825,0.0067825
15,5055.29,0.31648,0.32591,0.95288,0.97218,0.95546,0.97561,0.96586,0.19979,0.24203,0.85089,0.006535,0.006535,0.006535
16,5388.78,0.31131,0.3179,0.94686,0.98514,0.94468,0.9742,0.9638,0.2004,0.24763,0.85241,0.0062875,0.0062875,0.0062875
17,5722.46,0.30327,0.31184,0.9436,0.98381,0.94742,0.97376,0.96366,0.1997,0.24696,0.85265,0.00604,0.00604,0.00604
18,6055.54,0.29617,0.30696,0.93648,0.9869,0.94298,0.97288,0.9638,0.1995,0.25217,0.85228,0.0057925,0.0057925,0.0057925
19,6389.22,0.2903,0.30164,0.9306,0.98572,0.94521,0.97365,0.96391,0.19552,0.24103,0.84961,0.005545,0.005545,0.005545
