epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.369,2.05112,1.99603,2.90233,0.91428,0.93002,0.94804,0.79719,0.64441,0.56891,1.23756,0.003332,0.003332,0.003332
2,715.427,0.75405,0.60814,1.26837,0.9176,0.96777,0.97,0.91189,0.37227,0.36349,0.91402,0.00653336,0.00653336,0.00653336
3,1054.65,0.5915,0.47885,1.1067,0.94173,0.96385,0.98603,0.95222,0.30049,0.29509,0.85526,0.00960272,0.00960272,0.00960272
4,1391.14,0.49946,0.41501,1.03648,0.95219,0.9611,0.98703,0.96726,0.24422,0.24982,0.82566,0.009406,0.009406,0.009406
5,1727.83,0.43199,0.3646,0.99157,0.9644,0.96608,0.99101,0.97577,0.21836,0.21555,0.81087,0.009208,0.009208,0.009208
6,2064.72,0.39595,0.33689,0.96832,0.96047,0.96582,0.99076,0.98014,0.1986,0.19917,0.79996,0.00901,0.00901,0.00901
7,2400.71,0.37139,0.31643,0.95222,0.95619,0.97831,0.99186,0.98385,0.18256,0.18352,0.79368,0.008812,0.008812,0.008812
8,2737.18,0.3537,0.30419,0.94152,0.9714,0.96695,0.99216,0.98524,0.17397,0.17741,0.78968,0.008614,0.008614,0.008614
9,3073.27,0.33733,0.29058,0.93168,0.96528,0.97795,0.99264,0.98639,0.16842,0.16556,0.78596,0.008416,0.008416,0.008416
10,3410.47,0.32683,0.28227,0.92474,0.97464,0.97203,0.99309,0.98764,0.1605,0.15722,0.78256,0.008218,0.008218,0.008218
11,3746.64,0.31604,0.27361,0.91939,0.97053,0.97775,0.99242,0.9871,0.15601,0.15292,0.78029,0.00802,0.00802,0.00802
12,4083.42,0.30836,0.26705,0.91361,0.97622,0.97235,0.99313,0.98823,0.15314,0.14942,0.7795,0.007822,0.007822,0.007822
13,4419.45,0.30106,0.26155,0.90947,0.96893,0.97939,0.99303,0.9886,0.14816,0.14553,0.77724,0.007624,0.007624,0.007624
14,4755.71,0.29521,0.25656,0.90709,0.97178,0.98021,0.99314,0.98873,0.14585,0.14081,0.77561,0.007426,0.007426,0.007426
15,5092.11,0.28822,0.25396,0.90295,0.97396,0.97895,0.99341,0.98894,0.14381,0.13806,0.77454,0.007228,0.007228,0.007228
16,5428.75,0.28287,0.24725,0.89902,0.97745,0.97863,0.99367,0.98996,0.14101,0.13176,0.77386,0.00703,0.00703,0.00703
17,5765.73,0.27738,0.24351,0.89592,0.97731,0.97929,0.99376,0.98992,0.14028,0.13079,0.77349,0.006832,0.006832,0.006832
18,6102.41,0.27353,0.24105,0.89443,0.97432,0.98217,0.9937,0.99011,0.13811,0.1294,0.77213,0.006634,0.006634,0.006634
19,6438.89,0.26848,0.23661,0.8917,0.97846,0.97726,0.9938,0.99042,0.13653,0.12686,0.7717,0.006436,0.006436,0.006436
20,6775.43,0.26467,0.23171,0.88956,0.97531,0.98218,0.99388,0.99045,0.13486,0.12488,0.7714,0.006238,0.006238,0.006238
21,7112.1,0.26164,0.23056,0.88763,0.97686,0.98043,0.99393,0.99053,0.13425,0.12421,0.77102,0.00604,0.00604,0.00604
22,7448.5,0.25775,0.22763,0.88579,0.97749,0.98031,0.99393,0.9906,0.13335,0.12329,0.77072,0.005842,0.005842,0.005842
23,7784.67,0.25402,0.22446,0.88366,0.97497,0.98381,0.99396,0.99086,0.13206,0.12125,0.77004,0.005644,0.005644,0.005644
24,8120.8,0.25092,0.2219,0.88234,0.97279,0.98626,0.99398,0.99072,0.13152,0.1203,0.76961,0.005446,0.005446,0.005446
25,8457.96,0.24676,0.21814,0.88012,0.97317,0.98626,0.99399,0.99073,0.13096,0.11956,0.76932,0.005248,0.005248,0.005248
26,8794.45,0.24308,0.21495,0.87762,0.97411,0.98464,0.99399,0.99075,0.13057,0.11883,0.76921,0.00505,0.00505,0.00505
27,9130.91,0.24098,0.21375,0.87697,0.97545,0.98348,0.99399,0.9909,0.13008,0.11829,0.76888,0.004852,0.004852,0.004852
28,9468.16,0.23724,0.2106,0.87505,0.97647,0.98348,0.99399,0.99073,0.12958,0.11767,0.76864,0.004654,0.004654,0.004654
29,9804.39,0.23443,0.20798,0.87319,0.97693,0.98368,0.99402,0.99097,0.12923,0.11681,0.76853,0.004456,0.004456,0.004456
30,10140.9,0.23203,0.20641,0.87206,0.97601,0.98518,0.99401,0.99099,0.12899,0.1166,0.76838,0.004258,0.004258,0.004258
31,10477.8,0.22868,0.20562,0.87071,0.97509,0.9862,0.99404,0.99109,0.12881,0.11631,0.76825,0.00406,0.00406,0.00406
