epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.776,2.04765,1.97603,2.80884,0.9093,0.91023,0.93794,0.76276,0.74112,0.66213,1.2781,0.003332,0.003332,0.003332
2,525.884,0.87383,0.71498,1.34884,0.91488,0.96002,0.97431,0.87749,0.47554,0.42831,0.96513,0.00653336,0.00653336,0.00653336
3,777.898,0.68846,0.55119,1.16012,0.92608,0.95505,0.98235,0.9043,0.40558,0.37331,0.9173,0.00960272,0.00960272,0.00960272
4,1027.45,0.59306,0.4779,1.08038,0.94146,0.96041,0.98546,0.94466,0.33544,0.2963,0.86133,0.009406,0.009406,0.009406
5,1277.98,0.52056,0.42238,1.02716,0.95134,0.96597,0.98897,0.95806,0.28971,0.26285,0.83547,0.009208,0.009208,0.009208
6,1527.03,0.47991,0.39215,1.00143,0.95543,0.96679,0.98756,0.96612,0.25468,0.23799,0.81602,0.00901,0.00901,0.00901
7,1776.93,0.45361,0.37185,0.98369,0.96177,0.96368,0.98997,0.97303,0.23734,0.22105,0.80785,0.008812,0.008812,0.008812
8,2026.8,0.43434,0.35876,0.972,0.9647,0.97,0.9919,0.97693,0.22633,0.21094,0.80336,0.008614,0.008614,0.008614
9,2275.38,0.41648,0.34399,0.96011,0.96555,0.97072,0.99185,0.97831,0.21643,0.19997,0.79738,0.008416,0.008416,0.008416
10,2525.09,0.40452,0.33482,0.95236,0.96809,0.97006,0.99163,0.97967,0.20779,0.19228,0.79489,0.008218,0.008218,0.008218
11,2775.34,0.39437,0.32683,0.94623,0.96998,0.97121,0.99189,0.98015,0.20401,0.18703,0.79224,0.00802,0.00802,0.00802
12,3024.05,0.38401,0.31912,0.93907,0.96805,0.96925,0.9919,0.98122,0.19593,0.18451,0.78961,0.007822,0.007822,0.007822
13,3273.44,0.3765,0.31254,0.93376,0.96934,0.96723,0.99199,0.98221,0.19175,0.17921,0.78673,0.007624,0.007624,0.007624
14,3521.86,0.36955,0.30621,0.92898,0.96523,0.97464,0.99228,0.9831,0.18814,0.17448,0.78434,0.007426,0.007426,0.007426
15,3770.05,0.36272,0.30231,0.92441,0.97132,0.96947,0.99237,0.98377,0.18386,0.17112,0.78192,0.007228,0.007228,0.007228
16,4018.21,0.35779,0.29697,0.92152,0.97228,0.96958,0.99249,0.98444,0.18034,0.1679,0.78103,0.00703,0.00703,0.00703
17,4267.5,0.35102,0.29239,0.91687,0.96672,0.97416,0.99229,0.98417,0.17885,0.16662,0.78023,0.006832,0.006832,0.006832
18,4516.37,0.34657,0.28913,0.9152,0.9743,0.96746,0.99222,0.98422,0.17693,0.16426,0.77948,0.006634,0.006634,0.006634
19,4763.75,0.34227,0.28581,0.91293,0.97623,0.96732,0.99243,0.98498,0.1747,0.16157,0.77851,0.006436,0.006436,0.006436
20,5013.12,0.33731,0.28004,0.9091,0.9731,0.97061,0.99247,0.98499,0.1736,0.15993,0.7777,0.006238,0.006238,0.006238
21,5262,0.33373,0.27851,0.90798,0.97069,0.97334,0.99244,0.98522,0.17188,0.15889,0.77738,0.00604,0.00604,0.00604
22,5510.92,0.33017,0.27547,0.90558,0.97273,0.97186,0.99246,0.98508,0.17126,0.15776,0.77712,0.005842,0.005842,0.005842
23,5762.44,0.32521,0.27171,0.90185,0.97139,0.97301,0.99257,0.98555,0.16995,0.15621,0.77632,0.005644,0.005644,0.005644
24,6014.09,0.3216,0.26908,0.9023,0.9744,0.97144,0.99268,0.98574,0.16903,0.15549,0.776,0.005446,0.005446,0.005446
25,6267.04,0.31831,0.26636,0.89791,0.97487,0.97091,0.99269,0.98607,0.16824,0.15517,0.77559,0.005248,0.005248,0.005248
26,6519.17,0.31566,0.26329,0.89679,0.97516,0.9699,0.99269,0.98615,0.1678,0.15446,0.77534,0.00505,0.00505,0.00505
27,6771.76,0.31207,0.26109,0.89524,0.9753,0.9699,0.9927,0.98618,0.1674,0.15383,0.77507,0.004852,0.004852,0.004852
28,7023.63,0.30785,0.25782,0.89293,0.9742,0.96995,0.99272,0.98625,0.16693,0.1534,0.77482,0.004654,0.004654,0.004654
29,7275.69,0.30594,0.25541,0.8911,0.97468,0.96959,0.99273,0.98618,0.16633,0.15308,0.77458,0.004456,0.004456,0.004456
30,7527.53,0.30261,0.25344,0.89043,0.97341,0.97137,0.99274,0.98623,0.16603,0.15286,0.77436,0.004258,0.004258,0.004258
31,7779.53,0.29941,0.25365,0.8908,0.97374,0.97121,0.99278,0.98633,0.16556,0.15232,0.7742,0.00406,0.00406,0.00406
32,8031.45,0.29581,0.24882,0.88775,0.9731,0.97121,0.99279,0.98633,0.16503,0.15148,0.774,0.003862,0.003862,0.003862
33,8283.31,0.29185,0.24591,0.88614,0.97281,0.97157,0.99281,0.98632,0.16459,0.15086,0.77381,0.003664,0.003664,0.003664
34,8535.16,0.28899,0.24313,0.88348,0.96956,0.97432,0.99282,0.98645,0.16421,0.15059,0.77362,0.003466,0.003466,0.003466
35,8787.02,0.2866,0.24215,0.88251,0.97034,0.97432,0.99282,0.98644,0.16386,0.15017,0.77344,0.003268,0.003268,0.003268
36,9039.28,0.28461,0.23993,0.88149,0.97035,0.97434,0.99286,0.98658,0.16319,0.14962,0.77328,0.00307,0.00307,0.00307
37,9290.76,0.28111,0.23685,0.87995,0.97067,0.97466,0.99287,0.98667,0.16271,0.14927,0.77298,0.002872,0.002872,0.002872
38,9543.1,0.27854,0.2344,0.87869,0.97207,0.97284,0.99288,0.98665,0.16219,0.14867,0.77273,0.002674,0.002674,0.002674
39,9794.98,0.27481,0.23258,0.87698,0.9713,0.97431,0.9929,0.98674,0.16162,0.14789,0.77242,0.002476,0.002476,0.002476
40,10046.4,0.27204,0.23063,0.87611,0.97085,0.97563,0.99292,0.98678,0.16118,0.1475,0.77223,0.002278,0.002278,0.002278
41,10296.9,0.20712,0.18146,0.79909,0.971,0.9771,0.99295,0.98694,0.16024,0.14665,0.77195,0.00208,0.00208,0.00208
42,10545.9,0.20173,0.17588,0.7974,0.97123,0.97751,0.99299,0.98706,0.1593,0.14529,0.77166,0.001882,0.001882,0.001882
43,10794.1,0.19786,0.17372,0.79642,0.97125,0.97831,0.99307,0.98719,0.15838,0.14412,0.77138,0.001684,0.001684,0.001684
44,11042.3,0.19394,0.17069,0.79686,0.96997,0.97955,0.99315,0.98743,0.15718,0.14279,0.7711,0.001486,0.001486,0.001486
45,11291,0.18952,0.16577,0.7955,0.97321,0.97644,0.99319,0.98773,0.15617,0.14166,0.77075,0.001288,0.001288,0.001288
46,11540.8,0.18673,0.16141,0.79329,0.97374,0.9768,0.99324,0.9879,0.15519,0.14065,0.77041,0.00109,0.00109,0.00109
47,11789.7,0.18361,0.15894,0.7919,0.9748,0.97644,0.99329,0.98806,0.15433,0.13977,0.77015,0.000892,0.000892,0.000892
48,12038.7,0.18048,0.15646,0.79014,0.97347,0.97853,0.99333,0.98817,0.15344,0.13843,0.76983,0.000694,0.000694,0.000694
49,12287,0.17657,0.15266,0.78959,0.97505,0.9782,0.99337,0.98827,0.15253,0.13768,0.76947,0.000496,0.000496,0.000496
50,12536.4,0.17372,0.14957,0.78811,0.97614,0.97697,0.99341,0.98838,0.15172,0.13669,0.76905,0.000298,0.000298,0.000298
