epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.435,2.06931,2.10704,2.74132,0.95414,0.62017,0.63417,0.4797,0.80896,0.54776,1.03345,0.00333196,0.00333196,0.00333196
2,706.94,0.92643,0.60893,1.11441,0.96199,0.64928,0.70831,0.60767,0.53782,0.35833,0.86351,0.00653332,0.00653332,0.00653332
3,1040.72,0.76387,0.49509,0.99752,0.94997,0.76704,0.82428,0.70911,0.48604,0.32707,0.83544,0.00960268,0.00960268,0.00960268
4,1372.32,0.66465,0.43546,0.94474,0.9692,0.86278,0.90742,0.81366,0.40885,0.26632,0.80863,0.009406,0.009406,0.009406
5,1703.19,0.59678,0.38729,0.90973,0.96668,0.93783,0.95961,0.85496,0.40383,0.24498,0.80043,0.009208,0.009208,0.009208
6,2034.12,0.56097,0.36266,0.89529,0.96899,0.96669,0.98212,0.88449,0.37479,0.22323,0.79391,0.00901,0.00901,0.00901
7,2366.11,0.53319,0.34276,0.88367,0.96989,0.96745,0.98204,0.8876,0.36035,0.21324,0.78952,0.008812,0.008812,0.008812
8,2696.36,0.51058,0.32845,0.87403,0.97551,0.96859,0.98259,0.88982,0.35651,0.20456,0.7878,0.008614,0.008614,0.008614
9,3027.57,0.49307,0.31597,0.86909,0.98033,0.96205,0.97904,0.89528,0.34102,0.19379,0.78501,0.008416,0.008416,0.008416
10,3358.69,0.47857,0.30685,0.86359,0.97693,0.97481,0.98717,0.90514,0.32725,0.18777,0.7823,0.008218,0.008218,0.008218
11,3690.92,0.46379,0.29737,0.85858,0.97817,0.97122,0.984,0.90532,0.32164,0.18293,0.7811,0.00802,0.00802,0.00802
12,4022.37,0.45208,0.28954,0.85581,0.97853,0.97812,0.99065,0.91302,0.31097,0.17522,0.77939,0.007822,0.007822,0.007822
13,4354.08,0.44162,0.28484,0.85317,0.97743,0.98137,0.99088,0.91498,0.30719,0.17221,0.77832,0.007624,0.007624,0.007624
14,4685.68,0.42903,0.27612,0.85061,0.98483,0.97104,0.98536,0.91593,0.29269,0.16581,0.77707,0.007426,0.007426,0.007426
15,5016.86,0.42142,0.27098,0.84699,0.98511,0.9758,0.98939,0.91976,0.28677,0.16253,0.77576,0.007228,0.007228,0.007228
16,5348.16,0.41265,0.26659,0.84537,0.98553,0.97589,0.99,0.9235,0.27595,0.1583,0.77483,0.00703,0.00703,0.00703
17,5679.86,0.40204,0.26122,0.84228,0.9831,0.98011,0.99106,0.92655,0.27011,0.15478,0.77393,0.006832,0.006832,0.006832
18,6011.52,0.3928,0.25568,0.83996,0.98312,0.98094,0.99188,0.92979,0.26028,0.15038,0.77307,0.006634,0.006634,0.006634
