epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.965,2.19651,5.23501,3.5606,0.01188,0.8179,0.0183,0.0105,1.38432,3.3608,2.20564,0.00332384,0.00332384,0.00332384
2,424.613,1.03225,3.65484,1.68868,0.01424,0.88942,0.0198,0.01528,0.91379,3.18825,1.52006,0.00652536,0.00652536,0.00652536
3,634.776,0.68709,3.26805,1.21266,0.01864,0.6643,0.02128,0.01739,0.71711,2.99877,1.20894,0.00959488,0.00959488,0.00959488
4,846.737,0.51689,2.86962,1.02966,0.01489,0.99695,0.0217,0.01969,0.4721,2.7157,0.98752,0.009406,0.009406,0.009406
5,1054.64,0.42379,2.70296,0.95122,0.01566,0.98913,0.02174,0.02007,0.42194,2.68621,0.94796,0.009208,0.009208,0.009208
6,1262.44,0.38011,2.65183,0.91854,0.01528,0.99592,0.02215,0.02091,0.35664,2.64293,0.89081,0.00901,0.00901,0.00901
7,1470.31,0.35034,2.62474,0.89915,0.01567,0.99668,0.02161,0.02066,0.32943,2.61908,0.87183,0.008812,0.008812,0.008812
8,1679.41,0.32876,2.60849,0.88332,0.01624,0.99491,0.02286,0.02217,0.29283,2.59668,0.851,0.008614,0.008614,0.008614
9,1890.39,0.3146,2.59789,0.87545,0.01629,0.99738,0.02221,0.02151,0.28445,2.58822,0.84757,0.008416,0.008416,0.008416
10,2098.69,0.30301,2.5882,0.868,0.01556,0.99692,0.0224,0.02179,0.27279,2.58033,0.84146,0.008218,0.008218,0.008218
11,2306.84,0.29325,2.58245,0.86195,0.01673,0.99581,0.02231,0.02174,0.25891,2.57562,0.83493,0.00802,0.00802,0.00802
12,2516.99,0.28564,2.57695,0.85759,0.01665,0.99638,0.02211,0.02164,0.24429,2.56678,0.82167,0.007822,0.007822,0.007822
13,2728.23,0.27775,2.57256,0.85179,0.01638,0.99759,0.02258,0.02211,0.2377,2.56213,0.81841,0.007624,0.007624,0.007624
14,2938.17,0.27285,2.56841,0.84947,0.01655,0.99696,0.02278,0.0224,0.21771,2.55806,0.80955,0.007426,0.007426,0.007426
15,3146.43,0.26585,2.56416,0.84404,0.01577,0.9982,0.02349,0.02315,0.21346,2.55571,0.8063,0.007228,0.007228,0.007228
16,3360.14,0.26381,2.55617,0.84387,0.01621,0.99731,0.02998,0.02958,0.21046,2.53793,0.80545,0.00703,0.00703,0.00703
17,3576.95,0.26301,2.52444,0.8431,0.01597,0.9975,0.03687,0.03641,0.20958,2.5104,0.80331,0.006832,0.006832,0.006832
18,3793.72,0.26332,2.48359,0.84178,0.03543,0.51046,0.04808,0.04767,0.20487,2.41877,0.79972,0.006634,0.006634,0.006634
19,4003.96,0.26215,2.43566,0.84151,0.04204,0.46112,0.05523,0.05475,0.20003,2.38953,0.79836,0.006436,0.006436,0.006436
20,4218.19,0.25973,2.40672,0.84001,0.13186,0.25595,0.05972,0.05932,0.19411,2.34661,0.79428,0.006238,0.006238,0.006238
21,4445.41,0.25568,2.38434,0.83765,0.13352,0.22906,0.06259,0.06216,0.19324,2.33539,0.79433,0.00604,0.00604,0.00604
22,4663.21,0.253,2.36652,0.83603,0.13747,0.25198,0.07068,0.07023,0.18983,2.30025,0.79278,0.005842,0.005842,0.005842
23,4887.18,0.24934,2.35027,0.83291,0.17164,0.2132,0.07541,0.07501,0.18254,2.26692,0.78924,0.005644,0.005644,0.005644
24,5113.3,0.24663,2.33416,0.83219,0.13533,0.23329,0.07831,0.07791,0.1792,2.24663,0.78694,0.005446,0.005446,0.005446
25,5330.78,0.24421,2.31944,0.83042,0.08222,0.27055,0.08421,0.08373,0.18178,2.23159,0.78702,0.005248,0.005248,0.005248
26,5541.59,0.24226,2.30363,0.82945,0.08924,0.31372,0.09281,0.09235,0.17974,2.20682,0.78614,0.00505,0.00505,0.00505
27,5757.63,0.24077,2.28725,0.82861,0.09942,0.32045,0.10213,0.10166,0.1772,2.18326,0.78554,0.004852,0.004852,0.004852
28,5970.89,0.24014,2.24732,0.8273,0.13973,0.32536,0.14191,0.14136,0.17831,2.11993,0.7854,0.004654,0.004654,0.004654
29,6181.75,0.24128,2.19685,0.82701,0.19986,0.32984,0.18067,0.18001,0.17978,2.04727,0.78502,0.004456,0.004456,0.004456
30,6408.4,0.24135,2.15222,0.82753,0.22689,0.33669,0.21022,0.20962,0.17853,1.99063,0.78432,0.004258,0.004258,0.004258
31,6616.08,0.23936,2.10836,0.82744,0.25221,0.34111,0.23589,0.23522,0.17933,1.93985,0.78445,0.00406,0.00406,0.00406
32,6823.54,0.23856,2.06505,0.82652,0.29928,0.35339,0.26733,0.26656,0.17895,1.88829,0.78432,0.003862,0.003862,0.003862
33,7044.94,0.23865,2.00465,0.82495,0.31742,0.3582,0.31786,0.31694,0.18015,1.82259,0.78416,0.003664,0.003664,0.003664
34,7260.79,0.23882,1.93816,0.82342,0.4127,0.36215,0.37681,0.37588,0.18128,1.7499,0.78399,0.003466,0.003466,0.003466
35,7470.96,0.2392,1.86914,0.8235,0.49326,0.37658,0.42271,0.42168,0.18226,1.67856,0.78313,0.003268,0.003268,0.003268
36,7687.26,0.23845,1.79985,0.82338,0.571,0.38112,0.45925,0.45813,0.18238,1.60808,0.7826,0.00307,0.00307,0.00307
37,7903.81,0.23911,1.73325,0.82215,0.6317,0.38713,0.48865,0.48724,0.18368,1.54454,0.78254,0.002872,0.002872,0.002872
38,8111.76,0.23755,1.6677,0.82157,0.70727,0.39073,0.51374,0.51239,0.18418,1.48693,0.7823,0.002674,0.002674,0.002674
39,8332.27,0.23596,1.60368,0.81858,0.73845,0.40482,0.5334,0.53199,0.18429,1.43727,0.78198,0.002476,0.002476,0.002476
40,8542.69,0.23378,1.54139,0.81845,0.74952,0.42157,0.55176,0.55021,0.1837,1.39355,0.78158,0.002278,0.002278,0.002278
41,8753.77,0.23012,1.49087,0.81771,0.77253,0.43202,0.56877,0.56719,0.18292,1.35471,0.78132,0.00208,0.00208,0.00208
42,8961.69,0.22812,1.45415,0.81645,0.77526,0.44471,0.58316,0.58148,0.18241,1.3206,0.78124,0.001882,0.001882,0.001882
43,9169.41,0.22593,1.41704,0.81411,0.76593,0.45982,0.59525,0.59352,0.18154,1.29085,0.78088,0.001684,0.001684,0.001684
44,9376.89,0.22331,1.38505,0.81377,0.76841,0.469,0.60498,0.60332,0.18096,1.26623,0.78056,0.001486,0.001486,0.001486
45,9584.7,0.22001,1.35593,0.81203,0.76587,0.48355,0.61336,0.61159,0.18045,1.2453,0.78033,0.001288,0.001288,0.001288
46,9792.74,0.21843,1.32736,0.81128,0.7615,0.49628,0.62073,0.61903,0.17981,1.22741,0.78005,0.00109,0.00109,0.00109
47,10000.5,0.21666,1.30096,0.81128,0.77229,0.49858,0.62674,0.625,0.17933,1.21224,0.77987,0.000892,0.000892,0.000892
48,10208.3,0.21466,1.27878,0.8107,0.77176,0.50362,0.63181,0.63015,0.17896,1.19885,0.77963,0.000694,0.000694,0.000694
49,10416.2,0.21155,1.25905,0.80912,0.77475,0.50662,0.63642,0.63469,0.17862,1.18687,0.77938,0.000496,0.000496,0.000496
50,10624.1,0.20927,1.23964,0.81003,0.78002,0.5113,0.6402,0.63852,0.17834,1.177,0.77918,0.000298,0.000298,0.000298
